id,classifier,accuracy
0,Perceptron,62.67
0.3,Perceptron,56.67
0.6,Perceptron,58.67
0.9,Perceptron,42.67
1.5,SVM,60.00
1.8,SVM,58.00
2.1,SVM,55.33
2.4,SVM,43.33
3,Logistic,63.33
3.3,Logistic,58.00
3.6,Logistic,55.33
3.9,Logistic,42.67
