id,classifier,accuracy
0,Perceptron,70.83
0.2,Perceptron,72.50
0.4,Perceptron,67.50
0.6,Perceptron,54.16
1,SVM,80.00
1.2,SVM,75.00
1.4,SVM,71.67
1.6,SVM,52.5
2,Logistic,74.17
2.2,Logistic,69.17
2.4,Logistic,68.33
2.6,Logistic,51.66
